KO,Label,Entrez_hsa,Name,EC
K02434,"gatB, PET112",5188,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B ,6.3.5.6 6.3.5.7
K02435,"gatC, GATC",283459,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C ,6.3.5.6 6.3.5.7
K02436,gatR,-1,"DeoR family transcriptional regulator, galactitol utilization operon repressor","NA"
K02437,"gcvH, GCSH",2653,glycine cleavage system H protein,"NA"
K02438,glgX,-1,glycogen debranching enzyme ,3.2.1.196
K02439,glpE,-1,thiosulfate sulfurtransferase ,2.8.1.1
K02440,GLPF,-1,glycerol uptake facilitator protein,"NA"
K02441,glpG,-1,GlpG protein,"NA"
K02442,glpM,-1,membrane protein GlpM,"NA"
K02443,glpP,-1,glycerol uptake operon antiterminator,"NA"
K02444,glpR,-1,"DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor","NA"
K02445,glpT,-1,"MFS transporter, OPA family, glycerol-3-phosphate transporter","NA"
K02446,glpX,-1,"fructose-1,6-bisphosphatase II ",3.1.3.11
K02447,GRK,-1,protein gruken,"NA"
K02448,norD,-1,nitric oxide reductase NorD protein,"NA"
K02449,CDK10,8558,cyclin-dependent kinase 10 ,2.7.11.22
K02450,gspA,-1,general secretion pathway protein A,"NA"
K02451,gspB,-1,general secretion pathway protein B,"NA"
K02452,gspC,-1,general secretion pathway protein C,"NA"
K02453,gspD,-1,general secretion pathway protein D,"NA"
K02454,gspE,-1,general secretion pathway protein E ,7.4.2.8
K02455,gspF,-1,general secretion pathway protein F,"NA"
K02456,gspG,-1,general secretion pathway protein G,"NA"
K02457,gspH,-1,general secretion pathway protein H,"NA"
K02458,gspI,-1,general secretion pathway protein I,"NA"
K02459,gspJ,-1,general secretion pathway protein J,"NA"
K02460,gspK,-1,general secretion pathway protein K,"NA"
K02461,gspL,-1,general secretion pathway protein L,"NA"
K02462,gspM,-1,general secretion pathway protein M,"NA"
K02463,gspN,-1,general secretion pathway protein N,"NA"
K02464,gspO,-1,general secretion pathway protein O ,3.4.23.43 2.1.1.-
K02465,gspS,-1,general secretion pathway protein S,"NA"
K02466,gutM,-1,glucitol operon activator protein,"NA"
K02467,gutQ,-1,arabinose 5-phosphate isomerase ,5.3.1.13
K02468,"srlR, gutR",-1,"DeoR family transcriptional regulator, glucitol operon repressor","NA"
K02469,gyrA,-1,DNA gyrase subunit A ,5.6.2.2
K02470,gyrB,-1,DNA gyrase subunit B ,5.6.2.2
K02471,"bacA, bclA",-1,vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein,"NA"
K02472,wecC,-1,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase ,1.1.1.336
K02473,wbpP,-1,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase ,5.1.3.7 5.1.3.-
K02474,wbpO,-1,UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase ,1.1.1.136 1.1.1.-
K02475,K02475,-1,"two-component system, CitB family, response regulator","NA"
K02476,K02476,-1,"two-component system, CitB family, sensor kinase ",2.7.13.3
K02477,K02477,-1,"two-component system, LytTR family, response regulator","NA"
K02478,K02478,-1,"two-component system, LytTR family, sensor kinase ",2.7.13.3
K02479,K02479,-1,"two-component system, NarL family, response regulator","NA"
K02480,K02480,-1,"two-component system, NarL family, sensor kinase ",2.7.13.3
K02481,flgR,-1,"two-component system, NtrC family, response regulator","NA"
K02482,flgS,-1,"two-component system, NtrC family, sensor kinase ",2.7.13.3
K02483,K02483,-1,"two-component system, OmpR family, response regulator","NA"
K02484,K02484,-1,"two-component system, OmpR family, sensor kinase ",2.7.13.3
K02485,"rssB, hnr",-1,"two-component system, response regulator","NA"
K02486,K02486,-1,"two-component system, sensor kinase ",2.7.13.3
K02488,pleD,-1,"two-component system, cell cycle response regulator ",2.7.7.65
K02489,hk1,-1,"two-component system, glycerol uptake and utilization sensor kinase ",2.7.13.3
K02490,spo0F,-1,"two-component system, response regulator, stage 0 sporulation protein F","NA"
K02491,kinA,-1,"two-component system, sporulation sensor kinase A ",2.7.13.3
K02492,hemA,-1,glutamyl-tRNA reductase ,1.2.1.70
K02493,"hemK, prmC, HEMK",51409,release factor glutamine methyltransferase ,2.1.1.297
K02494,lolB,-1,outer membrane lipoprotein LolB,"NA"
K02495,"hemN, hemZ",-1,oxygen-independent coproporphyrinogen III oxidase ,1.3.98.3
K02496,hemX,-1,uroporphyrin-III C-methyltransferase ,2.1.1.107
K02497,hemX,-1,HemX protein,"NA"
K02498,hemY,-1,HemY protein,"NA"
K02499,yabN,-1,tetrapyrrole methylase family protein / MazG family protein,"NA"
K02500,hisF,-1,imidazole glycerol-phosphate synthase subunit HisF ,4.3.2.10
K02501,hisH,-1,imidazole glycerol-phosphate synthase subunit HisH ,4.3.2.10
K02502,hisZ,-1,ATP phosphoribosyltransferase regulatory subunit,"NA"
K02503,"HINT1, hinT, hit",3094,histidine triad (HIT) family protein,"NA"
K02504,hofB,-1,protein transport protein HofB,"NA"
K02505,hofC,-1,protein transport protein HofC,"NA"
K02506,"hofD, hopD",-1,leader peptidase HopD ,3.4.23.43
K02507,hofQ,-1,protein transport protein HofQ,"NA"
K02508,hpaA,-1,"AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein","NA"
K02509,hpaH,-1,"2-oxo-hept-3-ene-1,7-dioate hydratase ",4.2.1.-
K02510,"hpaI, hpcH",-1,4-hydroxy-2-oxoheptanedioate aldolase ,4.1.2.52
K02511,hpaX,-1,"MFS transporter, ACS family, 4-hydroxyphenylacetate permease","NA"
K02512,HRK,8739,activator of apoptosis harakiri,"NA"
K02513,HS2ST1,9653,heparan sulfate 2-O-sulfotransferase HS2ST1 ,2.8.2.-
K02514,HS6ST1,9394,heparan sulfate 6-O-sulfotransferase HS6ST1 ,2.8.2.-
K02515,HSL1,-1,"serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase ",2.7.11.-
K02516,"PRMT5, HSL7",10419,type II protein arginine methyltransferase ,2.1.1.320
K02517,"lpxL, htrB",-1,Kdo2-lipid IVA lauroyltransferase/acyltransferase ,2.3.1.241 2.3.1.-
K02518,infA,-1,translation initiation factor IF-1,"NA"
K02519,"infB, MTIF2",4528,translation initiation factor IF-2,"NA"
K02520,"infC, MTIF3",219402,translation initiation factor IF-3,"NA"
K02521,ilvY,-1,"LysR family transcriptional regulator, positive regulator for ilvC","NA"
K02523,ispB,-1,octaprenyl-diphosphate synthase ,2.5.1.90
K02524,K10,-1,"DNA binding protein (fs(1)K10, female sterile(1)K10)","NA"
K02525,kdgR,-1,"LacI family transcriptional regulator, kdg operon repressor","NA"
K02526,kdgT,-1,2-keto-3-deoxygluconate permease,"NA"
K02527,"kdtA, waaA",-1,3-deoxy-D-manno-octulosonic-acid transferase ,2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15
K02528,ksgA,-1,16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase ,2.1.1.182
K02529,"lacI, galR",-1,LacI family transcriptional regulator,"NA"
K02530,lacR,-1,"DeoR family transcriptional regulator, lactose phosphotransferase system repressor","NA"
K02531,lacT,-1,transcriptional antiterminator,"NA"
K02532,lacY,-1,"MFS transporter, OHS family, lactose permease","NA"
K02533,lasT,-1,tRNA/rRNA methyltransferase ,2.1.1.-
K02535,lpxC,-1,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase ,3.5.1.108
K02536,lpxD,-1,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase ,2.3.1.191
K02537,MAD2,4085,mitotic spindle assembly checkpoint protein MAD2,"NA"
K02538,manR,-1,"activator of the mannose operon, transcriptional antiterminator","NA"
K02539,MCL1,4170,myeloid leukemia cell differntiation protein MCL-1,"NA"
K02540,MCM2,4171,DNA replication licensing factor MCM2 ,3.6.4.12
K02541,MCM3,4172,DNA replication licensing factor MCM3 ,3.6.4.12
K02542,MCM6,4175,DNA replication licensing factor MCM6 ,3.6.4.12
K02543,MEC1,-1,cell cycle checkpoint protein MEC1,"NA"
K02544,MEC3,-1,G2-specific checkpoint protein,"NA"
K02545,mecA,-1,penicillin-binding protein 2 prime ,3.4.16.4
K02546,mecI,-1,"BlaI family transcriptional regulator, methicillin resistance regulatory protein","NA"
K02547,mecR1,-1,methicillin resistance protein,"NA"
K02548,menA,-1,"1,4-dihydroxy-2-naphthoate polyprenyltransferase ",2.5.1.74
K02549,menC,-1,o-succinylbenzoate synthase ,4.2.1.113
K02550,glcA,-1,glycolate permease,"NA"
K02551,menD,-1,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase ,2.2.1.9
K02552,menF,-1,menaquinone-specific isochorismate synthase ,5.4.4.2
K02553,"rraA, menG",-1,regulator of ribonuclease activity A,"NA"
K02554,mhpD,-1,2-keto-4-pentenoate hydratase ,4.2.1.80
K02555,MIH1,-1,M-phase inducer tyrosine phosphatase ,3.1.3.48
K02556,motA,-1,chemotaxis protein MotA,"NA"
K02557,motB,-1,chemotaxis protein MotB,"NA"
K02558,mpl,-1,UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase ,6.3.2.45
K02560,"lpxM, msbB",-1,lauroyl-Kdo2-lipid IVA myristoyltransferase ,2.3.1.243
K02561,BOK,666,Bcl-2-related ovarian killer protein,"NA"
K02562,mtlR,-1,mannitol operon repressor,"NA"
K02563,murG,-1,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase ,2.4.1.227
K02564,"nagB, GNPDA",10007,glucosamine-6-phosphate deaminase ,3.5.99.6
K02564,"nagB, GNPDA",132789,glucosamine-6-phosphate deaminase ,3.5.99.6
K02565,nagC,-1,N-acetylglucosamine repressor,"NA"
K02566,nagD,-1,NagD protein,"NA"
K02567,napA,-1,nitrate reductase (cytochrome) ,1.9.6.1
K02568,napB,-1,"nitrate reductase (cytochrome), electron transfer subunit","NA"
K02569,napC,-1,cytochrome c-type protein NapC,"NA"
K02570,napD,-1,periplasmic nitrate reductase NapD,"NA"
K02571,napE,-1,periplasmic nitrate reductase NapE,"NA"
K02572,napF,-1,ferredoxin-type protein NapF,"NA"
K02573,napG,-1,ferredoxin-type protein NapG,"NA"
K02574,napH,-1,ferredoxin-type protein NapH,"NA"
K02575,"NRT, narK, nrtP, nasA",-1,"MFS transporter, NNP family, nitrate/nitrite transporter","NA"
K02576,NDST1,3340,heparan sulfate N-deacetylase/N-sulfotransferase NDST1 ,3.1.1.- 2.8.2.-
K02577,NDST2,8509,heparan sulfate N-deacetylase/N-sulfotransferase NDST2 ,3.1.1.- 2.8.2.-
K02578,NDST3,9348,heparan sulfate N-deacetylase/N-sulfotransferase NDST3 ,3.1.1.- 2.8.2.-
K02579,NDST4,64579,heparan sulfate N-deacetylase/N-sulfotransferase NDST4 ,3.1.1.- 2.8.2.-
K02580,NFKB1,4790,nuclear factor NF-kappa-B p105 subunit,"NA"
K02581,NFKBIB,4793,NF-kappa-B inhibitor beta,"NA"
K02582,NGFB,4803,"nerve growth factor, beta","NA"
K02583,"NGFR, TNFRSF16, CD271",4804,tumor necrosis factor receptor superfamily member 16,"NA"
K02584,nifA,-1,Nif-specific regulatory protein,"NA"
K02585,nifB,-1,nitrogen fixation protein NifB,"NA"
K02586,nifD,-1,nitrogenase molybdenum-iron protein alpha chain ,1.18.6.1
K02587,nifE,-1,nitrogenase molybdenum-cofactor synthesis protein NifE,"NA"
K02588,nifH,-1,nitrogenase iron protein NifH,"NA"
K02589,"nifHD1, nifI1",-1,nitrogen regulatory protein PII 1,"NA"
K02590,"nifHD2, nifI2",-1,nitrogen regulatory protein PII 2,"NA"
K02591,nifK,-1,nitrogenase molybdenum-iron protein beta chain ,1.18.6.1
K02592,nifN,-1,nitrogenase molybdenum-iron protein NifN,"NA"
K02593,nifT,-1,nitrogen fixation protein NifT,"NA"
K02594,nifV,-1,homocitrate synthase NifV ,2.3.3.14
K02595,nifW,-1,nitrogenase-stabilizing/protective protein,"NA"
K02596,nifX,-1,nitrogen fixation protein NifX,"NA"
K02597,nifZ,-1,nitrogen fixation protein NifZ,"NA"
K02598,nirC,-1,nitrite transporter,"NA"
K02599,NOTCH1,4851,Notch 1,"NA"
K02600,nusA,-1,transcription termination/antitermination protein NusA,"NA"
K02601,nusG,-1,transcription termination/antitermination protein NusG,"NA"
K02602,"CPEB, ORB",64506,cytoplasmic polyadenylation element-binding protein,"NA"
K02602,"CPEB, ORB",132864,cytoplasmic polyadenylation element-binding protein,"NA"
K02602,"CPEB, ORB",22849,cytoplasmic polyadenylation element-binding protein,"NA"
K02602,"CPEB, ORB",80315,cytoplasmic polyadenylation element-binding protein,"NA"
K02603,ORC1,4998,origin recognition complex subunit 1,"NA"
K02604,ORC2,4999,origin recognition complex subunit 2,"NA"
K02605,ORC3,23595,origin recognition complex subunit 3,"NA"
K02606,ORC4,5000,origin recognition complex subunit 4,"NA"
K02607,ORC5,5001,origin recognition complex subunit 5,"NA"
K02608,ORC6,23594,origin recognition complex subunit 6,"NA"
K02609,paaA,-1,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA ",1.14.13.149
K02610,paaB,-1,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB","NA"
K02611,paaC,-1,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC ",1.14.13.149
K02612,paaD,-1,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD","NA"
K02613,paaE,-1,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE","NA"
K02614,paaI,-1,acyl-CoA thioesterase ,3.1.2.-
K02615,paaJ,-1,"3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase ",2.3.1.223 2.3.1.174
K02616,paaX,-1,phenylacetic acid degradation operon negative regulatory protein,"NA"
K02617,paaY,-1,phenylacetic acid degradation protein,"NA"
K02618,paaZ,-1,"oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase ",3.3.2.12 1.2.1.91
K02619,pabC,-1,4-amino-4-deoxychorismate lyase ,4.1.3.38
K02620,"TCF7, TCF-1",6932,transcription factor 7,"NA"
K02621,parC,-1,topoisomerase IV subunit A ,5.6.2.2
K02622,parE,-1,topoisomerase IV subunit B ,5.6.2.2
K02623,pcaQ,-1,"LysR family transcriptional regulator, pca operon transcriptional activator","NA"
K02624,pcaR,-1,"IclR family transcriptional regulator, pca regulon regulatory protein","NA"
K02625,pcaT,-1,"MFS transporter, MHS family, dicarboxylic acid transporter PcaT","NA"
K02626,pdaD,-1,arginine decarboxylase ,4.1.1.19
K02627,PDS1,-1,cell cycle regulator,"NA"
K02628,pecA,-1,phycoerythrocyanin alpha chain,"NA"
K02629,pecB,-1,phycoerythrocyanin beta chain,"NA"
K02630,pecC,-1,phycoerythrocyanin-associated rod linker protein,"NA"
K02631,pecE,-1,phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE ,4.4.1.31
K02632,pecF,-1,phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecF ,4.4.1.31
K02633,PER2,8864,period circadian protein 2,"NA"
K02634,petA,-1,apocytochrome f,"NA"
K02635,petB,-1,cytochrome b6,"NA"
K02636,petC,-1,cytochrome b6-f complex iron-sulfur subunit ,7.1.1.6
K02637,petD,-1,cytochrome b6-f complex subunit 4,"NA"
K02638,petE,-1,plastocyanin,"NA"
K02639,petF,-1,ferredoxin,"NA"
K02640,petG,-1,cytochrome b6-f complex subunit 5,"NA"
K02641,petH,-1,ferredoxin--NADP+ reductase ,1.18.1.2
K02642,petL,-1,cytochrome b6-f complex subunit 6,"NA"
K02643,petM,-1,cytochrome b6-f complex subunit 7,"NA"
K02646,PHO2,-1,regulatory protein PHO2,"NA"
K02647,cdaR,-1,carbohydrate diacid regulator,"NA"
K02649,PIK3R1_2_3,5295,phosphoinositide-3-kinase regulatory subunit alpha/beta/delta,"NA"
K02649,PIK3R1_2_3,5296,phosphoinositide-3-kinase regulatory subunit alpha/beta/delta,"NA"
K02649,PIK3R1_2_3,8503,phosphoinositide-3-kinase regulatory subunit alpha/beta/delta,"NA"
K02650,pilA,-1,type IV pilus assembly protein PilA,"NA"
K02651,"flp, pilA",-1,pilus assembly protein Flp/PilA,"NA"
K02652,pilB,-1,type IV pilus assembly protein PilB,"NA"
K02653,pilC,-1,type IV pilus assembly protein PilC,"NA"
K02654,"pilD, pppA",-1,leader peptidase (prepilin peptidase) / N-methyltransferase ,3.4.23.43 2.1.1.-
K02655,pilE,-1,type IV pilus assembly protein PilE,"NA"
K02656,pilF,-1,type IV pilus assembly protein PilF,"NA"
K02657,pilG,-1,twitching motility two-component system response regulator PilG,"NA"
K02658,pilH,-1,twitching motility two-component system response regulator PilH,"NA"
K02659,pilI,-1,twitching motility protein PilI,"NA"
K02660,pilJ,-1,twitching motility protein PilJ,"NA"
K02661,pilK,-1,type IV pilus assembly protein PilK,"NA"
K02662,pilM,-1,type IV pilus assembly protein PilM,"NA"
K02663,pilN,-1,type IV pilus assembly protein PilN,"NA"
K02664,pilO,-1,type IV pilus assembly protein PilO,"NA"
K02665,pilP,-1,type IV pilus assembly protein PilP,"NA"
K02666,pilQ,-1,type IV pilus assembly protein PilQ,"NA"
K02667,"pilR, pehR",-1,"two-component system, NtrC family, response regulator PilR","NA"
K02668,"pilS, pehS",-1,"two-component system, NtrC family, sensor histidine kinase PilS ",2.7.13.3
K02669,pilT,-1,twitching motility protein PilT,"NA"
K02670,pilU,-1,twitching motility protein PilU,"NA"
K02671,pilV,-1,type IV pilus assembly protein PilV,"NA"
K02672,pilW,-1,type IV pilus assembly protein PilW,"NA"
K02673,pilX,-1,type IV pilus assembly protein PilX,"NA"
K02674,pilY1,-1,type IV pilus assembly protein PilY1,"NA"
K02675,pilY2,-1,type IV pilus assembly protein PilY2,"NA"
K02676,pilZ,-1,type IV pilus assembly protein PilZ,"NA"
K02677,PRKCA,5578,classical protein kinase C alpha type ,2.7.11.13
K02678,"ETS1, pnt",2113,C-ets-1,"NA"
K02679,ppdA,-1,prepilin peptidase dependent protein A,"NA"
K02680,ppdB,-1,prepilin peptidase dependent protein B,"NA"
K02681,ppdC,-1,prepilin peptidase dependent protein C,"NA"
K02682,ppdD,-1,prepilin peptidase dependent protein D,"NA"
K02683,"priS, pri1, priA",-1,DNA primase small subunit ,2.7.7.102
K02684,PRI1,5557,DNA primase small subunit ,2.7.7.102
K02685,PRI2,5558,DNA primase large subunit,"NA"
K02686,priB,-1,primosomal replication protein N,"NA"
K02687,prmA,-1,ribosomal protein L11 methyltransferase ,2.1.1.-
K02688,prpR,-1,"transcriptional regulator, propionate catabolism operon regulatory protein","NA"
K02689,psaA,-1,photosystem I P700 chlorophyll a apoprotein A1,"NA"
K02690,psaB,-1,photosystem I P700 chlorophyll a apoprotein A2,"NA"
K02691,psaC,-1,photosystem I subunit VII,"NA"
K02692,psaD,-1,photosystem I subunit II,"NA"
K02693,psaE,-1,photosystem I subunit IV,"NA"
K02694,psaF,-1,photosystem I subunit III,"NA"
K02695,psaH,-1,photosystem I subunit VI,"NA"
K02696,psaI,-1,photosystem I subunit VIII,"NA"
K02697,psaJ,-1,photosystem I subunit IX,"NA"
K02698,psaK,-1,photosystem I subunit X,"NA"
K02699,psaL,-1,photosystem I subunit XI,"NA"
K02700,psaM,-1,photosystem I subunit XII,"NA"
K02701,psaN,-1,photosystem I subunit PsaN,"NA"
K02702,psaX,-1,photosystem I 4.8kDa protein,"NA"
K02703,psbA,-1,photosystem II P680 reaction center D1 protein ,1.10.3.9
K02704,psbB,-1,photosystem II CP47 chlorophyll apoprotein,"NA"
K02705,psbC,-1,photosystem II CP43 chlorophyll apoprotein,"NA"
K02706,psbD,-1,photosystem II P680 reaction center D2 protein ,1.10.3.9
K02707,psbE,-1,photosystem II cytochrome b559 subunit alpha,"NA"
K02708,psbF,-1,photosystem II cytochrome b559 subunit beta,"NA"
K02709,psbH,-1,photosystem II PsbH protein,"NA"
K02710,psbI,-1,photosystem II PsbI protein,"NA"
K02711,psbJ,-1,photosystem II PsbJ protein,"NA"
K02712,psbK,-1,photosystem II PsbK protein,"NA"
K02713,psbL,-1,photosystem II PsbL protein,"NA"
K02714,psbM,-1,photosystem II PsbM protein,"NA"
K02715,psbN,-1,PsbN protein,"NA"
K02716,psbO,-1,photosystem II oxygen-evolving enhancer protein 1,"NA"
K02717,psbP,-1,photosystem II oxygen-evolving enhancer protein 2,"NA"
K02718,psbT,-1,photosystem II PsbT protein,"NA"
K02719,psbU,-1,photosystem II PsbU protein,"NA"
K02720,psbV,-1,photosystem II cytochrome c550,"NA"
K02721,psbW,-1,photosystem II PsbW protein,"NA"
K02722,psbX,-1,photosystem II PsbX protein,"NA"
K02723,psbY,-1,photosystem II PsbY protein,"NA"
K02724,psbZ,-1,photosystem II PsbZ protein,"NA"
K02725,PSMA1,5682,20S proteasome subunit alpha 6 ,3.4.25.1
K02726,PSMA2,5683,20S proteasome subunit alpha 2 ,3.4.25.1
K02727,PSMA3,5684,20S proteasome subunit alpha 7 ,3.4.25.1
K02728,PSMA4,5685,20S proteasome subunit alpha 3 ,3.4.25.1
K02729,PSMA5,5686,20S proteasome subunit alpha 5 ,3.4.25.1
K02730,PSMA6,5687,20S proteasome subunit alpha 1 ,3.4.25.1
K02731,PSMA7,5688,20S proteasome subunit alpha 4 ,3.4.25.1
K02731,PSMA7,143471,20S proteasome subunit alpha 4 ,3.4.25.1
K02732,PSMB1,5689,20S proteasome subunit beta 6 ,3.4.25.1
K02733,"PSMB10, MECL1",5699,20S proteasome subunit beta 10 ,3.4.25.1
K02734,PSMB2,5690,20S proteasome subunit beta 4 ,3.4.25.1
K02735,PSMB3,5691,20S proteasome subunit beta 3 ,3.4.25.1
K02736,PSMB4,5692,20S proteasome subunit beta 7 ,3.4.25.1
K02737,PSMB5,5693,20S proteasome subunit beta 5 ,3.4.25.1
K02738,PSMB6,5694,20S proteasome subunit beta 1 ,3.4.25.1
K02739,PSMB7,5695,20S proteasome subunit beta 2 ,3.4.25.1
K02740,"PSMB8, LMP7",5696,20S proteasome subunit beta 8 ,3.4.25.1
K02741,"PSMB9, LMP2",5698,20S proteasome subunit beta 9 ,3.4.25.1
K02742,sprT,-1,SprT protein,"NA"
K02744,agaF,-1,N-acetylgalactosamine PTS system EIIA component ,2.7.1.-
K02745,agaV,-1,N-acetylgalactosamine PTS system EIIB component ,2.7.1.-
K02746,agaW,-1,N-acetylgalactosamine PTS system EIIC component,"NA"
K02747,agaE,-1,N-acetylgalactosamine PTS system EIID component,"NA"
K02750,"glvC, malP, aglA",-1,alpha-glucoside PTS system EIICB component ,2.7.1.208 2.7.1.-
K02753,ascF,-1,beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component ,2.7.1.-
K02755,bglFa,-1,beta-glucoside PTS system EIIA component ,2.7.1.-
K02757,"bglF, bglP",-1,beta-glucoside PTS system EIICBA component ,2.7.1.-
K02759,"celC, chbA",-1,cellobiose PTS system EIIA component ,2.7.1.196 2.7.1.205
K02760,"celA, chbB",-1,cellobiose PTS system EIIB component ,2.7.1.196 2.7.1.205
K02761,"celB, chbC",-1,cellobiose PTS system EIIC component,"NA"
K02765,gamP,-1,D-glucosamine PTS system EIICBA component ,2.7.1.-
K02768,fruB,-1,fructose PTS system EIIA component ,2.7.1.202
K02769,fruAb,-1,fructose PTS system EIIB component ,2.7.1.202
K02770,fruA,-1,fructose PTS system EIIBC or EIIC component ,2.7.1.202
K02771,levG,-1,fructose PTS system EIID component,"NA"
K02773,"gatA, sgcA",-1,galactitol PTS system EIIA component ,2.7.1.200
K02774,"gatB, sgcB",-1,galactitol PTS system EIIB component ,2.7.1.200
K02775,"gatC, sgcC",-1,galactitol PTS system EIIC component,"NA"
K02777,crr,-1,sugar PTS system EIIA component ,2.7.1.-
K02778,ptsGb,-1,glucose PTS system EIIB component ,2.7.1.199
K02779,ptsG,-1,glucose PTS system EIICB or EIICBA component ,2.7.1.199
K02781,srlB,-1,glucitol/sorbitol PTS system EIIA component ,2.7.1.198
K02782,srlE,-1,glucitol/sorbitol PTS system EIIB component ,2.7.1.198
K02783,srlA,-1,glucitol/sorbitol PTS system EIIC component,"NA"
K02784,ptsH,-1,phosphocarrier protein HPr,"NA"
K02786,lacF,-1,lactose PTS system EIIA component ,2.7.1.207
K02788,lacE,-1,lactose PTS system EIICB component ,2.7.1.207
K02791,malX,-1,maltose/glucose PTS system EIICB component ,2.7.1.199 2.7.1.208
K02793,manXa,-1,mannose PTS system EIIA component ,2.7.1.191
K02794,manX,-1,mannose PTS system EIIAB component ,2.7.1.191
K02795,manY,-1,mannose PTS system EIIC component,"NA"
K02796,manZ,-1,mannose PTS system EIID component,"NA"
K02798,cmtB,-1,mannitol PTS system EIIA component ,2.7.1.197
K02800,"mtlA, cmtA",-1,mannitol PTS system EIICBA or EIICB component ,2.7.1.197
K02803,nagEb,-1,N-acetylglucosamine PTS system EIIB component ,2.7.1.193
K02804,nagE,-1,N-acetylglucosamine PTS system EIICBA or EIICB component ,2.7.1.193
K02805,"wecE, rffA",-1,"dTDP-4-amino-4,6-dideoxygalactose transaminase ",2.6.1.59
K02806,ptsN,-1,nitrogen PTS system EIIA component ,2.7.1.-
K02810,"scrA, sacP, sacX, ptsS",-1,sucrose PTS system EIIBCA or EIIBC component ,2.7.1.211
K02812,"sorF, sorA",-1,sorbose PTS system EIIA component ,2.7.1.206
K02813,sorB,-1,sorbose PTS system EIIB component ,2.7.1.206
K02814,"sorA, sorC",-1,sorbose PTS system EIIC component,"NA"
K02815,"sorM, sorD",-1,sorbose PTS system EIID component,"NA"
K02819,"treB, treP",-1,trehalose PTS system EIIBC or EIIBCA component ,2.7.1.201
K02821,"ulaC, sgaA",-1,ascorbate PTS system EIIA or EIIAB component ,2.7.1.194
K02822,"ulaB, sgaB",-1,ascorbate PTS system EIIB component ,2.7.1.194
K02823,pyrDII,-1,dihydroorotate dehydrogenase electron transfer subunit,"NA"
K02824,"uraA, pyrP",-1,uracil permease,"NA"
K02825,pyrR,-1,pyrimidine operon attenuation protein / uracil phosphoribosyltransferase ,2.4.2.9
K02826,qoxA,-1,cytochrome aa3-600 menaquinol oxidase subunit II ,7.1.1.5
K02827,qoxB,-1,cytochrome aa3-600 menaquinol oxidase subunit I ,7.1.1.5
K02828,qoxC,-1,cytochrome aa3-600 menaquinol oxidase subunit III ,7.1.1.5
K02829,qoxD,-1,cytochrome aa3-600 menaquinol oxidase subunit IV ,7.1.1.5
K02830,"HRAD1, RAD17",5810,cell cycle checkpoint protein ,3.1.11.2
K02831,RAD53,-1,ser/thr/tyr protein kinase RAD53 ,2.7.11.-
K02832,RAIDD,8738,CASP2 and RIPK1 domain containing adaptor with death domain,"NA"
K02833,HRAS,3265,GTPase HRas,"NA"
K02834,rbfA,-1,ribosome-binding factor A,"NA"
K02835,"prfA, MTRF1, MRF1",54516,peptide chain release factor 1,"NA"
K02835,"prfA, MTRF1, MRF1",9617,peptide chain release factor 1,"NA"
K02836,prfB,-1,peptide chain release factor 2,"NA"
K02837,prfC,-1,peptide chain release factor 3,"NA"
K02838,"frr, MRRF, RRF",92399,ribosome recycling factor,"NA"
K02839,prfH,-1,peptide chain release factor,"NA"
K02840,"waaB, rfaB",-1,"UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase ",2.4.1.-
K02841,"waaC, rfaC",-1,heptosyltransferase I ,2.4.-.-
K02842,"FZD9_10, CD349_50",11211,frizzled 9/10,"NA"
